company,year,function,destination,industry,origin,evidence_url,evidence_type,evidence_strength,reasons,raw_title,raw_summary,source
深粮控股(000019),2025,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2025-09-18/1224666731.PDF,上市公司公告,强,空间与用地约束|政策激励与补偿,公告编号2025-27：<em>深圳</em>市深粮控股股份有限公司关于深粮集团与西丽街道办事处签订《西丽高铁枢纽及相关工程土地整备项目一期<em>搬迁</em>补偿协议书》等相关文件的公告,深粮控股：公告编号2025-27：<em>深圳</em>市深粮控股股份有限公司关于深粮集团与西丽街道办事处签订《西丽高铁枢纽及相关工程土地整备项目一期<em>搬迁</em>补偿协议书》等相关文件的公告,cninfo
兆新股份(002256),2022,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2022-11-12/1215083845.PDF,上市公司公告,强,空间与用地约束|政策激励与补偿,关于签订《<em>深圳</em>市宝安区石岩街道兆新能源工业园城市更新单元项目<em>搬迁</em>补偿协议》的公告,兆新股份：关于签订《<em>深圳</em>市宝安区石岩街道兆新能源工业园城市更新单元项目<em>搬迁</em>补偿协议》的公告,cninfo
兆新股份(002256),2022,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2022-11-12/1215083843.PDF,上市公司公告,强,空间与用地约束|政策激励与补偿,独立董事关于签订《<em>深圳</em>市宝安区石岩街道兆新能源工业园城市更新单元项目<em>搬迁</em>补偿协议》的独立意见,兆新股份：独立董事关于签订《<em>深圳</em>市宝安区石岩街道兆新能源工业园城市更新单元项目<em>搬迁</em>补偿协议》的独立意见,cninfo
深圳控股(00604),2021,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2021-12-03/1211790647.PDF,上市公司公告,强,政策激励与补偿,关连交易该等<em>搬迁</em>补偿协议之补充协议；及股东特别大会补充通告,<em>深圳</em>控股：关连交易该等<em>搬迁</em>补偿协议之补充协议；及股东特别大会补充通告,cninfo
深圳控股(00604),2021,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2021-11-19/1211638364.PDF,上市公司公告,强,政策激励与补偿,延迟寄发 有关该等<em>搬迁</em>补偿协议之补充协议的关连交易的通函,<em>深圳</em>控股：延迟寄发 有关该等<em>搬迁</em>补偿协议之补充协议的关连交易的通函,cninfo
深圳控股(00604),2021,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2021-10-29/1211434277.PDF,上市公司公告,强,政策激励与补偿,关连交易该等<em>搬迁</em>补偿协议之补充协议,<em>深圳</em>控股：关连交易该等<em>搬迁</em>补偿协议之补充协议,cninfo
青山纸业(600103),2020,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2020-12-12/1208894548.PDF,上市公司公告,强,空间与用地约束|政策激励与补偿,关于拟签署<em>深圳</em>市南山区桃源街道高发科技园旧厂房区城市更新单元<em>搬迁</em>补偿安置协议的独立意见,青山纸业：关于拟签署<em>深圳</em>市南山区桃源街道高发科技园旧厂房区城市更新单元<em>搬迁</em>补偿安置协议的独立意见,cninfo
青山纸业(600103),2020,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2020-12-12/1208894547.PDF,上市公司公告,强,空间与用地约束|政策激励与补偿,关于拟签署<em>深圳</em>市南山区桃源街道高发科技园旧厂房区城市更新单元<em>搬迁</em>补偿安置协议的公告,青山纸业：关于拟签署<em>深圳</em>市南山区桃源街道高发科技园旧厂房区城市更新单元<em>搬迁</em>补偿安置协议的公告,cninfo
万里印刷(08385),2019,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2019-09-17/1206931758.PDF,上市公司公告,强,政策激励与补偿,主要交易 补偿协议 <em>深圳</em>厂房<em>搬迁</em>,万里印刷：主要交易 补偿协议 <em>深圳</em>厂房<em>搬迁</em>,cninfo
万里印刷(08385),2019,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2019-08-16/1206543946.PDF,上市公司公告,强,政策激励与补偿,主要交易：<em>深圳</em>厂房<em>搬迁</em>之补偿协议 — 延迟寄发通函,万里印刷：主要交易：<em>深圳</em>厂房<em>搬迁</em>之补偿协议 — 延迟寄发通函,cninfo
万里印刷(08385),2019,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2019-08-07/1206505243.PDF,上市公司公告,强,政策激励与补偿,补充公布：主要交易 <em>深圳</em>厂房<em>搬迁</em>之补偿协议,万里印刷：补充公布：主要交易 <em>深圳</em>厂房<em>搬迁</em>之补偿协议,cninfo
万里印刷(08385),2019,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2019-07-28/1206480062.PDF,上市公司公告,强,政策激励与补偿,主要交易 - 补偿协议<em>深圳</em>厂房<em>搬迁</em>,万里印刷：主要交易 - 补偿协议<em>深圳</em>厂房<em>搬迁</em>,cninfo
未知,2019,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2019-03-21/1205924650.PDF,上市公司公告,强,,2019年<em>深圳</em>市（盐田区）盐田三村、四村和西山吓村整体<em>搬迁</em>专项债券（一期）-2019年<em>深圳</em>市政府专项债券（八期）财务评估咨询报告,地方政府债券公告：2019年<em>深圳</em>市（盐田区）盐田三村、四村和西山吓村整体<em>搬迁</em>专项债券（一期）-2019年<em>深圳</em>市政府专项债券（八期）财务评估咨询报告,cninfo
未知,2019,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2019-03-21/1205924648.PDF,上市公司公告,强,,2019年<em>深圳</em>市（盐田区）盐田三村、四村和西山吓村整体<em>搬迁</em>专项债券（一期）-2019年<em>深圳</em>市政府专项债券（八期）法律意见书,地方政府债券公告：2019年<em>深圳</em>市（盐田区）盐田三村、四村和西山吓村整体<em>搬迁</em>专项债券（一期）-2019年<em>深圳</em>市政府专项债券（八期）法律意见书,cninfo
未知,2019,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2019-03-21/1205924649.PDF,上市公司公告,强,,2019年<em>深圳</em>市（盐田区）盐田三村、四村和西山吓村整体<em>搬迁</em>专项债券（一期）-2019年<em>深圳</em>市政府专项债券（八期）信用评级报告,地方政府债券公告：2019年<em>深圳</em>市（盐田区）盐田三村、四村和西山吓村整体<em>搬迁</em>专项债券（一期）-2019年<em>深圳</em>市政府专项债券（八期）信用评级报告,cninfo
未知,2019,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2019-03-21/1205924646.PDF,上市公司公告,强,,2019年<em>深圳</em>市（盐田区）盐田三村、四村和西山吓村整体<em>搬迁</em>专项债（一期）-2019年<em>深圳</em>市政府专项债（八期）信息披露文件,地方政府债券公告：2019年<em>深圳</em>市（盐田区）盐田三村、四村和西山吓村整体<em>搬迁</em>专项债（一期）-2019年<em>深圳</em>市政府专项债（八期）信息披露文件,cninfo
未知,2019,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2019-03-21/1205924647.PDF,上市公司公告,强,,2019年<em>深圳</em>市（盐田区）盐田三村、四村和西山吓村整体<em>搬迁</em>专项债券（一期）-2019年<em>深圳</em>市政府专项债券（八期）实施方案,地方政府债券公告：2019年<em>深圳</em>市（盐田区）盐田三村、四村和西山吓村整体<em>搬迁</em>专项债券（一期）-2019年<em>深圳</em>市政府专项债券（八期）实施方案,cninfo
深桑达Ａ(000032),2018,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2018-11-27/1205631035.PDF,上市公司公告,强,政策激励与补偿,关于签订<em>深圳</em>市南山区高新公寓改造项目<em>搬迁</em>安置补偿协议进展的公告,深桑达Ａ：关于签订<em>深圳</em>市南山区高新公寓改造项目<em>搬迁</em>安置补偿协议进展的公告,cninfo
沙河股份(000014),2018,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2018-11-20/1205616597.PDF,上市公司公告,强,空间与用地约束|政策激励与补偿,关于签订《<em>深圳</em>市南山区鹤塘小区-沙河商城城市更新项目<em>搬迁</em>补偿安置协议之第一补充协议》暨关联交易的公告（补充后）,沙河股份：关于签订《<em>深圳</em>市南山区鹤塘小区-沙河商城城市更新项目<em>搬迁</em>补偿安置协议之第一补充协议》暨关联交易的公告（补充后）,cninfo
沙河股份(000014),2018,制造或运营外迁待判定,待判定,待分类,深圳,https://static.cninfo.com.cn/finalpage/2018-11-20/1205616596.PDF,上市公司公告,强,空间与用地约束|政策激励与补偿,关于签订《<em>深圳</em>市南山区鹤塘小区-沙河商城城市更新项目<em>搬迁</em>补偿安置协议之第一补充协议》暨关联交易的补充说明公告,沙河股份：关于签订《<em>深圳</em>市南山区鹤塘小区-沙河商城城市更新项目<em>搬迁</em>补偿安置协议之第一补充协议》暨关联交易的补充说明公告,cninfo
